,test,predict,difference,amountWrong
433,1,1.0,0.0,5506
434,1,1.0,0.0,5506
435,1,1.0,0.0,5506
436,1,1.0,0.0,5506
437,1,1.0,0.0,5506
438,1,1.0,0.0,5506
439,1,1.0,0.0,5506
440,1,1.0,0.0,5506
441,1,1.0,0.0,5506
442,1,1.0,0.0,5506
443,1,1.0,0.0,5506
444,1,1.0,0.0,5506
445,1,1.0,0.0,5506
446,1,1.0,0.0,5506
447,1,1.0,0.0,5506
448,1,1.0,0.0,5506
449,1,1.0,0.0,5506
450,1,1.0,0.0,5506
451,1,1.0,0.0,5506
452,1,1.0,0.0,5506
453,1,1.0,0.0,5506
454,1,1.0,0.0,5506
455,1,1.0,0.0,5506
456,1,1.0,0.0,5506
457,1,1.0,0.0,5506
458,1,1.0,0.0,5506
459,1,1.0,0.0,5506
460,1,1.0,0.0,5506
461,1,1.0,0.0,5506
462,1,1.0,0.0,5506
463,1,1.0,0.0,5506
464,1,1.0,0.0,5506
465,1,1.0,0.0,5506
466,1,1.0,0.0,5506
467,2,1.0,1.0,5506
468,1,1.0,0.0,5506
469,1,1.0,0.0,5506
470,1,1.0,0.0,5506
471,1,1.0,0.0,5506
472,1,1.0,0.0,5506
473,1,1.0,0.0,5506
474,1,1.0,0.0,5506
475,1,1.0,0.0,5506
476,1,1.0,0.0,5506
477,1,1.0,0.0,5506
478,1,1.0,0.0,5506
479,1,1.0,0.0,5506
480,1,1.0,0.0,5506
481,1,1.0,0.0,5506
482,1,1.0,0.0,5506
483,1,1.0,0.0,5506
484,1,1.0,0.0,5506
485,1,1.0,0.0,5506
486,1,1.0,0.0,5506
487,2,1.0,1.0,5506
488,1,1.0,0.0,5506
489,1,1.0,0.0,5506
490,2,1.0,1.0,5506
491,1,1.0,0.0,5506
492,1,1.0,0.0,5506
493,1,1.0,0.0,5506
494,1,1.0,0.0,5506
495,1,1.0,0.0,5506
496,1,1.0,0.0,5506
497,1,1.0,0.0,5506
498,1,1.0,0.0,5506
499,1,1.0,0.0,5506
500,1,1.0,0.0,5506
501,1,1.0,0.0,5506
502,1,1.0,0.0,5506
503,1,1.0,0.0,5506
504,1,1.0,0.0,5506
505,1,1.0,0.0,5506
506,1,1.0,0.0,5506
507,1,1.0,0.0,5506
508,1,1.0,0.0,5506
509,1,1.0,0.0,5506
510,1,1.0,0.0,5506
511,1,1.0,0.0,5506
512,1,1.0,0.0,5506
513,1,1.0,0.0,5506
514,2,1.0,1.0,5506
515,1,1.0,0.0,5506
516,1,1.0,0.0,5506
517,1,1.0,0.0,5506
518,1,1.0,0.0,5506
519,1,1.0,0.0,5506
520,1,1.0,0.0,5506
521,1,1.0,0.0,5506
522,1,1.0,0.0,5506
523,1,1.0,0.0,5506
524,1,1.0,0.0,5506
525,1,1.0,0.0,5506
526,1,1.0,0.0,5506
527,1,1.0,0.0,5506
528,1,1.0,0.0,5506
529,1,1.0,0.0,5506
530,1,1.0,0.0,5506
531,1,1.0,0.0,5506
532,1,1.0,0.0,5506
533,1,1.0,0.0,5506
534,1,1.0,0.0,5506
535,1,1.0,0.0,5506
536,1,1.0,0.0,5506
537,1,1.0,0.0,5506
538,1,1.0,0.0,5506
539,1,1.0,0.0,5506
540,1,1.0,0.0,5506
541,1,1.0,0.0,5506
542,1,1.0,0.0,5506
543,1,1.0,0.0,5506
544,1,1.0,0.0,5506
545,1,1.0,0.0,5506
546,1,1.0,0.0,5506
547,1,1.0,0.0,5506
548,1,1.0,0.0,5506
549,1,1.0,0.0,5506
550,1,1.0,0.0,5506
551,1,1.0,0.0,5506
552,1,1.0,0.0,5506
553,1,1.0,0.0,5506
554,1,1.0,0.0,5506
555,1,1.0,0.0,5506
556,1,1.0,0.0,5506
557,1,1.0,0.0,5506
558,1,1.0,0.0,5506
559,1,1.0,0.0,5506
560,1,1.0,0.0,5506
561,1,1.0,0.0,5506
562,1,1.0,0.0,5506
563,1,1.0,0.0,5506
564,1,1.0,0.0,5506
565,1,1.0,0.0,5506
566,1,1.0,0.0,5506
567,1,1.0,0.0,5506
568,1,1.0,0.0,5506
569,2,1.0,1.0,5506
570,1,1.0,0.0,5506
571,1,1.0,0.0,5506
572,1,1.0,0.0,5506
573,1,1.0,0.0,5506
574,1,1.0,0.0,5506
575,1,1.0,0.0,5506
