,test,predict,difference,amountWrong,percentWrong
48,1,1.0,0.0,5567,8.4150857833875
49,1,1.0,0.0,5567,8.4150857833875
50,1,1.0,0.0,5567,8.4150857833875
51,1,1.0,0.0,5567,8.4150857833875
52,1,1.0,0.0,5567,8.4150857833875
53,2,1.0,1.0,5567,8.4150857833875
54,1,1.0,0.0,5567,8.4150857833875
55,1,1.0,0.0,5567,8.4150857833875
56,1,1.0,0.0,5567,8.4150857833875
57,2,1.0,1.0,5567,8.4150857833875
58,1,1.0,0.0,5567,8.4150857833875
59,1,1.0,0.0,5567,8.4150857833875
60,1,1.0,0.0,5567,8.4150857833875
61,1,1.0,0.0,5567,8.4150857833875
62,2,1.0,1.0,5567,8.4150857833875
63,1,1.0,0.0,5567,8.4150857833875
64,1,1.0,0.0,5567,8.4150857833875
65,1,1.0,0.0,5567,8.4150857833875
66,1,1.0,0.0,5567,8.4150857833875
67,1,1.0,0.0,5567,8.4150857833875
68,1,1.0,0.0,5567,8.4150857833875
69,1,1.0,0.0,5567,8.4150857833875
70,1,1.0,0.0,5567,8.4150857833875
71,1,1.0,0.0,5567,8.4150857833875
72,1,1.0,0.0,5567,8.4150857833875
73,1,1.0,0.0,5567,8.4150857833875
74,1,1.0,0.0,5567,8.4150857833875
75,1,1.0,0.0,5567,8.4150857833875
76,1,1.0,0.0,5567,8.4150857833875
77,1,1.0,0.0,5567,8.4150857833875
78,1,1.0,0.0,5567,8.4150857833875
79,1,1.0,0.0,5567,8.4150857833875
80,1,1.0,0.0,5567,8.4150857833875
81,1,1.0,0.0,5567,8.4150857833875
82,1,1.0,0.0,5567,8.4150857833875
83,1,1.0,0.0,5567,8.4150857833875
84,1,1.0,0.0,5567,8.4150857833875
85,1,1.0,0.0,5567,8.4150857833875
86,1,1.0,0.0,5567,8.4150857833875
87,1,1.0,0.0,5567,8.4150857833875
88,1,1.0,0.0,5567,8.4150857833875
89,1,1.0,0.0,5567,8.4150857833875
90,1,1.0,0.0,5567,8.4150857833875
91,1,1.0,0.0,5567,8.4150857833875
92,1,1.0,0.0,5567,8.4150857833875
93,1,1.0,0.0,5567,8.4150857833875
94,1,1.0,0.0,5567,8.4150857833875
95,1,1.0,0.0,5567,8.4150857833875
96,1,1.0,0.0,5567,8.4150857833875
97,1,1.0,0.0,5567,8.4150857833875
98,1,1.0,0.0,5567,8.4150857833875
99,1,1.0,0.0,5567,8.4150857833875
100,1,1.0,0.0,5567,8.4150857833875
101,1,1.0,0.0,5567,8.4150857833875
102,2,1.0,1.0,5567,8.4150857833875
103,3,1.0,2.0,5567,8.4150857833875
104,1,1.0,0.0,5567,8.4150857833875
105,1,1.0,0.0,5567,8.4150857833875
106,1,1.0,0.0,5567,8.4150857833875
107,2,1.0,1.0,5567,8.4150857833875
108,1,1.0,0.0,5567,8.4150857833875
109,2,1.0,1.0,5567,8.4150857833875
110,1,1.0,0.0,5567,8.4150857833875
111,1,1.0,0.0,5567,8.4150857833875
112,1,1.0,0.0,5567,8.4150857833875
113,1,1.0,0.0,5567,8.4150857833875
114,2,1.0,1.0,5567,8.4150857833875
115,2,1.0,1.0,5567,8.4150857833875
116,1,1.0,0.0,5567,8.4150857833875
117,1,1.0,0.0,5567,8.4150857833875
118,1,1.0,0.0,5567,8.4150857833875
119,1,1.0,0.0,5567,8.4150857833875
120,1,1.0,0.0,5567,8.4150857833875
121,1,1.0,0.0,5567,8.4150857833875
122,1,1.0,0.0,5567,8.4150857833875
123,1,1.0,0.0,5567,8.4150857833875
124,1,1.0,0.0,5567,8.4150857833875
125,1,1.0,0.0,5567,8.4150857833875
126,2,1.0,1.0,5567,8.4150857833875
